㐖毒	het dowk	Xie2 du2	/India (archaic)/
東山鄉	tuwng srean xjang	Dong1 shan1 xiang1	/Tungshan township in Tainan county 台南縣|台南县[Tai2 nan2 xian4], Taiwan/
東昌府	tuwng tsyhang pjuX	Dong1 chang1 fu3	/Dongchangfu district of Liaocheng city 聊城市[Liao2 cheng2 shi4], Shandong/
東河鄉	tuwng ha xjang	Dong1 he2 xiang1	/Donghe or Tungho township in Taitung County 臺東縣|台东县[Tai2 dong1 Xian4], southeast Taiwan/
東海岸	tuwng xojX nganH	Dong1 hai3 an4	/East Coast/
東營市	tuwng yweng dzyiX	Dong1 ying2 shi4	/Dongying prefecture-level city in Shandong/
東直門	tuwng drik mwon	Dong1 zhi2 men2	/Dongzhimen neighborhood of Beijing/
東石鄉	tuwng dzyek xjang	Dong1 shi2 xiang1	/Dongshi or Tungshih township in Chiayi county 嘉義縣|嘉义县[Jia1 yi4 xian4], west Taiwan/
東西周	tuwng sej tsyuw	Dong1 Xi1 Zhou1	/Eastern Zhou (1046-771 BC) and Western Zhou (770-221 BC)/
東西寬	tuwng sej khwan	dong1 xi1 kuan1	/east-west distance/
東西德	tuwng sej tok	Dong1 Xi1 De2	/East and West Germany/refers to the German Democratic Republic (East Germany) and the Federal Republic of Germany (West Germany)/
東西湖	tuwng sej hu	Dong1 xi1 hu2	/Dongxihu district of Wuhan city 武漢市|武汉市[Wu3 han4 shi4], Hubei/
東道主	tuwng dawX tsyuX	dong1 dao4 zhu3	/host/official host (e.g. venue for games or a conference)/
東陽市	tuwng yang dzyiX	Dong1 yang2 shi4	/Dongyang county level city in Jinhua 金華|金华[Jin1 hua2], Zhejiang/
東頭村	tuwng duw tshwon	Dong1 tou2 cun1	/Tung Tau Tseun village, Hong Kong Island/
松化石	zjowng xwaeH dzyek	song1 hua4 shi2	/turquoise (gemstone)/also written 松石/
松原市	zjowng ngjwon dzyiX	Song1 yuan2 shi4	/Songyuan prefecture level city in Jilin province 吉林省 in northeast China/
松坡湖	zjowng pha hu	Song1 po1 Hu2	/see 草海[Cao3 hai3]/
松果體	zjowng kwaX thejX	song1 guo3 ti3	/pineal body/
松花江	zjowng xwae kaewng	Song1 hua1 jiang1	/Songhua River in Jilin province 吉林省 through Harbin 哈尔滨, a tributary of Heilongjiang 黑龍江|黑龙江/
松雀鷹	zjowng tsjak ’ing	song1 que4 ying1	/(bird species of China) besra (Accipiter virgatus)/
松露豬	zjowng luH trjo	song1 lu4 zhu1	/truffle hog/
板式塔	paenX syik thap	ban3 shi4 ta3	/distillation tower/bubble tower/plate column/
板梁橋	paenX ljang gjew	ban3 liang2 qiao2	/plate girder bridge/
板條箱	paenX dew sjang	ban3 tiao2 xiang1	/crate/
板橋市	paenX gjew dzyiX	Ban3 qiao2 shi4	/Banqiao or Panchiao city in New Taipei City 新北市[Xin1 bei3 shi4], Taiwan/
板藍根	paenX lam kon	ban3 lan2 gen1	/indigo woad root/root of Isatis indigotica (used in TCM)/
板門店	paenX mwon temH	Ban3 men2 dian4	/Panmunjeom, the Joint Security Area in the Korean demilitarized zone/
枋寮鄉	pjang lew xjang	Fang1 liao2 xiang1	/Fangliao township in Pingtung County 屏東縣|屏东县[Ping2 dong1 Xian4], Taiwan/
枋山鄉	pjang srean xjang	Fang1 shan1 xiang1	/Fangshan township in Pingtung County 屏東縣|屏东县[Ping2 dong1 Xian4], Taiwan/
林八哥	lim peat ka	lin2 ba1 ge1	/(bird species of China) great myna (Acridotheres grandis)/
林則徐	lim tsok zjo	Lin2 Ze2 xu2	/Lin Zexu or Lin Tse-hsu "Commissioner Lin" (1785-1850), Qing official whose anti-opium activities led to first Opium war with Britain 1840-1842/
林口鄉	lim khuwX xjang	Lin2 kou3 xiang1	/Linkou township in New Taipei City 新北市[Xin1 bei3 shi4], Taiwan/
林園鄉	lim hjwon xjang	Lin2 yuan2 xiang1	/Linyuan township in Kaohsiung county 高雄縣|高雄县[Gao1 xiong2 xian4], southwest Taiwan/
林夜鷹	lim yaeH ’ing	lin2 ye4 ying1	/(bird species of China) savanna nightjar (Caprimulgus affinis)/
林家翹	lim kae gjiew	Lin2 Jia1 qiao2	/Lin Chia-Chiao (1916-2013), Chinese-American physicist, astronomer and applied mathematician/
林嶺雀	lim ljengX tsjak	lin2 ling3 que4	/(bird species of China) plain mountain finch (Leucosticte nemoricola)/
林州市	lim tsyuw dzyiX	Lin2 zhou1 shi4	/Linzhou county level city in Anyang 安陽|安阳[An1 yang2], Henan/
林志玲	lim tsyiH leng	Lin2 Zhi4 ling2	/Lin Chi-ling (1974-), Taiwanese model and actress/
林憶蓮	lim ’ik len	Lin2 Yi4 lian2	/Sandy Lam (1966-), Hong Kong pop singer/
林懷民	lim hweaj mjin	Lin2 Huai2 min2	/Lin Hwai-Min (1947-), Taiwanese choreographer and dancer/
林書豪	lim syo haw	Lin2 Shu1 hao2	/Jeremy Lin (1988-), Taiwanese-American professional basketball player (NBA)/
林柳鶯	lim ljuwX ’eang	lin2 liu3 ying1	/(bird species of China) wood warbler (Phylloscopus sibilatrix)/
林肯郡	lim khongX gjunH	Lin2 ken3 jun4	/Lincolnshire (English county)/
林蔭路	lim ’imH luH	lin2 yin4 lu4	/see 林蔭道|林荫道[lin2 yin4 dao4]/
林蔭道	lim ’imH dawX	lin2 yin4 dao4	/boulevard/avenue/mall/
林邊鄉	lim pen xjang	Lin2 bian1 xiang1	/Linpien township in Pingtung County 屏東縣|屏东县[Ping2 dong1 Xian4], Taiwan/
林陰路	lim ’im luH	lin2 yin1 lu4	/see 林蔭道|林荫道[lin2 yin4 dao4]/
林陰道	lim ’im dawX	lin2 yin1 dao4	/see 林蔭道|林荫道[lin2 yin4 dao4]/
林鵰鴞	lim tew hjew	lin2 diao1 xiao1	/(bird species of China) spot-bellied eagle-owl (Bubo nipalensis)/
林黛玉	lim dojH ngjowk	Lin2 Dai4 yu4	/Lin Daiyu, female character in The Dream of Red Mansions, cousin and thwarted lover of Jia Baoyu 賈寶玉|贾宝玉/
果倍爽	kwaX bojX srjangX	Guo3 bei4 shuang3	/Capri-Sun, juice drink brand/
果子狸	kwaX tsiX li	guo3 zi5 li2	/masked palm civet (Paguma larvata)/
果子醬	kwaX tsiX tsjangH	guo3 zi5 jiang4	/marmalade/jellied fruit/
果子露	kwaX tsiX luH	guo3 zi5 lu4	/fruit drink/
果戈里	kwaX kwa liX	Guo3 ge1 li3	/Nikolai Gogol (1809-1852), Russian author and dramatist/
果汁機	kwaX tsyip kj+j	guo3 zhi1 ji1	/blender (device)/juicer/
果洛州	kwaX lak tsyuw	Guo3 luo4 zhou1	/Golog Tibetan autonomous prefecture (Tibetan: Mgo-log Bod-rigs rang-skyong-khul) in south Qinghai/
枝江市	tsye kaewng dzyiX	Zhi1 jiang1 shi4	/Zhijiang county level city in Yichang 宜昌[Yi2 chang1], Hubei/
枯水期	khu sywijX gi	ku1 shui3 qi1	/period of low water level (winter in north China)/
枯草熱	khu tshawX nyet	ku1 cao3 re4	/hay fever/
架子豬	kaeH tsiX trjo	jia4 zi5 zhu1	/feeder pig/
柏克郡	paek khok gjunH	Bo2 ke4 jun4	/Berkshire (English county)/
柏拉圖	paek lop du	Bo2 la1 tu2	/Plato (c. 427-c. 347 BC), Greek philosopher/
柏林牆	paek lim dzjang	Bo2 lin2 Qiang2	/Berlin Wall/
柏柏爾	paek paek nyeX	Bo4 bo4 er3	/Berber people of North Africa/
柏油路	paek yuw luH	bai3 you2 lu4	/tarred road/asphalt road/
柑橘醬	kam kjwit tsjangH	gan1 ju2 jiang4	/marmalade/
柔佛州	nyuw bjut tsyuw	Rou2 fo2 zhou1	/Johor (state in Malaysia)/
柔膚水	nyuw pju sywijX	rou2 fu1 shui3	/skin toner/
柔身術	nyuw syin zywit	rou2 shen1 shu4	/contortion (performance art)/
柘榴石	tsyaeH ljuw dzyek	zhe4 liu2 shi2	/garnet/
柯劭忞	ka dzyewH min	Ke1 Shao4 min2	/Ke Shaomin (1850-1933), scholar, author of New History of the Yuan Dynasty 新元史[Xin1 Yuan2 shi3]/
柯文哲	ka mjun trjet	Ke1 Wen2 zhe2	/Ko Wen-je (1959-), Taiwanese independent politician, Mayor of Taipei City from 2014/
柯林斯	ka lim sje	Ke1 lin2 si1	/Collins (name)/
柯林頓	ka lim twonH	Ke1 lin2 dun4	/(Tw) Clinton (name)/Bill Clinton (1946-), US Democratic politician, president 1993-2001/Hillary Rodham Clinton (1947-), US Democratic politician/
柳公權	ljuwX kuwng gjwen	Liu3 Gong1 quan2	/Liu Gongquan (778-865), Tang calligrapher/
柳宗元	ljuwX tsowng ngjwon	Liu3 Zong1 yuan2	/Liu Zongyuan (773-819), Tang essayist and poet, advocate of the classical writing 古文運動|古文运动 and neoclassical 復古|复古 movements/
柳州市	ljuwX tsyuw dzyiX	Liu3 zhou1 shi4	/Liuzhou prefecture-level city in Guangxi/
柳條邊	ljuwX dew pen	liu3 tiao2 bian1	/Willow palisade across Liaoning, 17th century barrier/
柳營鄉	ljuwX yweng xjang	Liu3 ying2 xiang1	/Liuying township in Tainan county 台南縣|台南县[Tai2 nan2 xian4], Taiwan/
柳雷鳥	ljuwX lwoj tewX	liu3 lei2 niao3	/(bird species of China) willow ptarmigan (Lagopus lagopus)/
柴魚片	dzrea ngjo phenH	chai2 yu2 pian4	/katsuobushi or dried bonito flakes (paper-thin shavings of preserved skipjack tuna)/
栗耳鵐	lit nyiX mju	li4 er3 wu2	/(bird species of China) chestnut-eared bunting (Emberiza fucata)/
株洲市	trju tsyuw dzyiX	Zhu1 zhou1 shi4	/Zhuzhou prefecture level city, on the Xiangjiang river in Hunan/
核僵持	heak kjang dri	he2 jiang1 chi2	/nuclear equipoise/nuclear stalemate/
核冬天	heak towng then	he2 dong1 tian1	/nuclear winter/
核動力	heak duwngX lik	he2 dong4 li4	/nuclear power/
核國家	heak kwok kae	he2 guo2 jia1	/nuclear nations/
核地雷	heak dijH lwoj	he2 di4 lei2	/nuclear land mine/nuclear mine/
核均勢	heak kjwin syejH	he2 jun1 shi4	/nuclear parity/
核威懾	heak ’jw+j tsyep	he2 wei1 she4	/nuclear deterrence/
核對峙	heak twojH driX	he2 dui4 zhi4	/nuclear stalemate/
核小體	heak sjewX thejX	he2 xiao3 ti3	/nucleosome/
核工業	heak kuwng ngjaep	he2 gong1 ye4	/nuclear industry/
核工程	heak kuwng drjeng	he2 gong1 cheng2	/nuclear engineering/
核廢物	heak pjojH mjut	he2 fei4 wu4	/nuclear waste/
核技術	heak gjeX zywit	he2 ji4 shu4	/nuclear technology/
核桃仁	heak daw nyin	he2 tao5 ren2	/walnut kernel/
核模型	heak mu heng	he2 mo2 xing2	/nuclear model/
核武器	heak mjuX khijH	he2 wu3 qi4	/nuclear weapon/
核武庫	heak mjuX khuH	he2 wu3 ku4	/nuclear arsenal/
核物理	heak mjut liX	he2 wu4 li3	/nuclear physics/
核發電	heak pjot denH	he2 fa1 dian4	/nuclear power generation/
核糖體	heak dang thejX	he2 tang2 ti3	/ribosome/
核結構	heak ket kuwH	he2 jie2 gou4	/nuclear structure/
核苷酸	heak kam swan	he2 gan1 suan1	/nucleotide/
核裂變	heak ljet pjenH	he2 lie4 bian4	/atomic fission/nuclear fission/fission/
核試驗	heak syiH ngjemH	he2 shi4 yan4	/nuclear test/
核談判	heak dam phanH	he2 tan2 pan4	/nuclear negotiations/
核變形	heak pjenH heng	he2 bian4 xing2	/nuclear deformation/
核軍備	heak kjun bijH	he2 jun1 bei4	/nuclear arms/
核門檻	heak mwon haemX	he2 men2 jian4	/nuclear threshold/
核陀螺	heak da lwa	he2 tuo2 luo2	/nuclear gyroscope/
核電站	heak denH treamH	he2 dian4 zhan4	/nuclear power plant/
核黃素	heak hwang suH	he2 huang2 su4	/riboflavin (vitamin B2)/
根據地	kon kjoH dijH	gen1 ju4 di4	/base of operations/
根本法	kon pwonX pjop	gen1 ben3 fa3	/fundamental law/body of basic laws/
根河市	kon ha dzyiX	Gen1 he2 shi4	/Genhe county level city, Mongolian Gegeen-gol xot, in Hulunbuir 呼倫貝爾|呼伦贝尔[Hu1 lun2 bei4 er3], Inner Mongolia/
桂木屬	kwejH muwk dzyowk	Gui4 mu4 shu3	/genus Artocarpus/
桂林市	kwejH lim dzyiX	Gui4 lin2 shi4	/Guilin prefecture-level city in Guangxi/
桃園市	daw hjwon dzyiX	Tao2 yuan2 shi4	/Taoyuan city in north Taiwan, capital of Taoyuan county/
桃源鄉	daw ngjwon xjang	Tao2 yuan2 xiang1	/Taoyuan township in Kaohsiung county 高雄縣|高雄县[Gao1 xiong2 xian4], southwest Taiwan/
桃花汛	daw xwae sinH	tao2 hua1 xun4	/spring flood (at peach-blossom time)/
桃花源	daw xwae ngjwon	tao2 hua1 yuan2	/the Peach Blossom Spring, a hidden land of peace and prosperity/utopia/
桃花運	daw xwae hjunH	tao2 hua1 yun4	/luck with the ladies/a romance/good luck/
桃金娘	daw kim nrjang	tao2 jin1 niang2	/rose myrtle (Myrtus communis)/
案例法	’anH ljejH pjop	an4 li4 fa3	/case law/
桐城市	duwng dzyeng dzyiX	Tong2 cheng2 shi4	/Tongcheng county level city in Anqing 安慶|安庆[An1 qing4], Anhui/
桐柏山	duwng paek srean	Tong2 bai3 shan1	/Tongbai mountain range, the watershed between Huai 淮河 and Han 漢江|汉江 rivers/
桐鄉市	duwng xjang dzyiX	Tong2 xiang1 shi4	/Tongxiang county level city in Jiaxing 嘉興|嘉兴[Jia1 xing1], Zhejiang/
桑坦德	sang thanX tok	Sang1 tan3 de2	/Santander, capital of Spanish autonomous region Cantabria 坎塔布里亞|坎塔布里亚[Kan3 ta3 bu4 li3 ya4]/
桑塔納	sang thap nop	Sang1 ta3 na4	/Santana (name)/
桑德拉	sang tok lop	Sang1 de2 la1	/Sandra (name)/
桑德斯	sang tok sje	Sang1 de2 si1	/Sanders (name)/Bernie Sanders, United States Senator from Vermont and 2016 Presidential candidate/
梁子湖	ljang tsiX hu	Liang2 zi5 hu2	/Liangzihu district of Ezhou city 鄂州市[E4 zhou1 shi4], Hubei/
梁山市	ljang srean dzyiX	Liang2 shan1 shi4	/Liangshan city in Shandong/
梁辰魚	ljang dzyin ngjo	Liang2 Chen2 yu2	/Liang Chenyu (1521-1594), Ming dramatist of the Kunshan opera school/
梅山鄉	mwoj srean xjang	Mei2 shan1 xiang1	/Meishan township in Chiayi county 嘉義縣|嘉义县[Jia1 yi4 xian4], west Taiwan/
梅州市	mwoj tsyuw dzyiX	Mei2 zhou1 shi4	/Meizhou prefecture level city in Guangdong province/
梅河口	mwoj ha khuwX	Mei2 he2 kou3	/Meihekou county level city in Tonghua 通化, Jilin/
梅納德	mwoj nop tok	Mei2 na4 de2	/Maynard (name)/
梅花拳	mwoj xwae gjwen	mei2 hua1 quan2	/Meihua Quan - "Plum Blossom Fist" (Chinese Martial Art)/
梅花鹿	mwoj xwae luwk	mei2 hua1 lu4	/sika deer/
梅薩林	mwoj sat lim	mei2 sa4 lin2	/muslin or mousseline silk fabric/
梅蘭芳	mwoj lan phjang	Mei2 Lan2 fang1	/Mei Lanfang (1894-1961), famous master of Beijing opera, specialist in female roles/
梅西耶	mwoj sej yae	Mei2 xi1 ye1	/Charles Messier (1730-1817), French astronomer who catalogued nebulas and galaxies/
梅里斯	mwoj liX sje	Mei2 li3 si1	/Meilisi Daur district of Qiqihar city 齊齊哈爾|齐齐哈尔[Qi2 qi2 ha1 er3], Heilongjiang/
梅里美	mwoj liX mijX	Mei2 li3 mei3	/Prosper Mérimée (1803-1870), French scholar and writer, author of novel Carmen on which Bizet based his opera/
梆子腔	paewng tsiX khaewng	bang1 zi3 qiang1	/a general term for local operas in Shangxi, Henan, Hebei, Shandong etc/the music of such operas/
梓官鄉	tsiX kwan xjang	Zi3 guan1 xiang1	/Ziguan or Tzukuan township in Kaohsiung county 高雄縣|高雄县[Gao1 xiong2 xian4], southwest Taiwan/
梔子花	tsye tsiX xwae	zhi1 zi5 hua1	/cape jasmine (Gardenia jasminoides)/
條件式	dew gjenX syik	tiao2 jian4 shi4	/conditional/
條形圖	dew heng du	tiao2 xing2 tu2	/bar chart/
條形碼	dew heng maeX	tiao2 xing2 ma3	/barcode/
條板箱	dew paenX sjang	tiao2 ban3 xiang1	/crate/
梧州市	ngu tsyuw dzyiX	Wu2 zhou1 shi4	/Wuzhou prefecture level city in Guangxi/
梭子魚	swa tsiX ngjo	suo1 zi5 yu2	/barracuda/
梯也爾	thej yaeX nyeX	Ti1 ye3 er3	/Adolphe Thiers/
梯恩梯	thej ’on thej	ti1 en1 ti1	/TNT (trinitrotoluene) (loanword)/
梳妝室	srjo tsrjang syit	shu1 zhuang1 shi4	/boudoir/lady's dressing room/
梳妝檯	srjo tsrjang doj	shu1 zhuang1 tai2	/dressing table/
棉花棒	mjien xwae baewngX	mian2 hua1 bang4	/cotton swab/cotton bud/
棉花糖	mjien xwae dang	mian2 hua1 tang2	/cotton candy/candyfloss/marshmallow/
棉藥籤	mjien yak tshjem	mian2 yao4 qian1	/medical swab/
棒子國	baewngX tsiX kwok	Bang4 zi5 guo2	/(derog.) Korea/
棒子麵	baewngX tsiX menH	bang4 zi5 mian4	/maize cornflour/corn mush/polenta/
棒棒機	baewngX baewngX kj+j	bang4 bang4 ji1	/bar phone (cell phone shaped like a bar of candy)/
棒棒糖	baewngX baewngX dang	bang4 bang4 tang2	/lollipop/sucker/CL:根[gen1]/
棒棒腿	baewngX baewngX thwojX	bang4 bang4 tui3	/chicken drumstick (Tw)/
棒極了	baewngX gik lewX	bang4 ji2 le5	/super/excellent/
棒球迷	baewngX gjuw mej	bang4 qiu2 mi2	/baseball fan/
棗莊市	tsawX tsrjang dzyiX	Zao3 zhuang1 shi4	/Zaozhuang prefecture level city in Shandong/
棗陽市	tsawX yang dzyiX	Zao3 yang2 shi4	/Zaoyang county level city in Xiangfan 襄樊[Xiang1 fan2], Hubei/
森喜朗	srim xiX langX	Sen1 Xi3 lang3	/MORI Yoshirō (1937-), Japanese rugby player and politician, prime minister 2000-2001, famous for numerous gaffes/
森巴舞	srim pae mjuX	sen1 ba1 wu3	/samba (Tw) (loanword)/
森美蘭	srim mijX lan	Sen1 mei3 lan2	/Sembilan, state of southwest Malaysia/
棲息地	sej sik dijH	qi1 xi1 di4	/habitat/
棲霞市	sej hae dzyiX	Xi1 xia2 shi4	/Xixia county level city in Yantai 煙台|烟台, Shandong/
椎間盤	drwij keanH ban	zhui1 jian1 pan2	/intervertebral disk/
椰子汁	yae tsiX tsyip	ye1 zi5 zhi1	/coconut water/
椰菜花	yae tshojH xwae	ye1 cai4 hua1	/cauliflower (Brassica oleracea var. botrytis)/
楊丞琳	yang dzying lim	Yang2 Cheng2 lin2	/Rainie Yang (1984-), Taiwanese entertainer/
楊利偉	yang lijH hjw+jX	Yang2 Li4 wei3	/Yang Liwei (1965-), astronaut, first Chinese citizen in space/
楊寶森	yang pawX srim	Yang2 Bao3 sen1	/Yang Baosen (1909-1958), Beijing opera star, one of the Four great beards 四大鬚生|四大须生/
楊建利	yang kjonH lijH	Yang2 Jian4 li4	/Yang JianLi, PRC human rights activist/
楊月清	yang ngjwot tshjeng	Yang2 Yue4 qing1	/Yang Yueqing, Chinese-Canadian woman documentary film director/
楊潔篪	yang ket drje	Yang2 Jie2 chi2	/Yang Jiechi (1950-), Chinese politician and diplomat, foreign minister of PRC 2007-2013/
楊澄中	yang dring trjuwng	Yang2 Cheng2 zhong1	/Yang Chengzhong (1913-1987), Chinese nuclear physicist/
楊玉環	yang ngjowk hwaen	Yang2 Yu4 huan2	/Yang Yuhuan or Yang Guifei 楊貴妃|杨贵妃[Yang2 Gui4 fei1] (719-756), famous Tang beauty, consort of Emperor Xuanzhong 唐玄宗[Tang2 Xuan2 zong1], blamed for extravagance and killed as a scapegoat during the An-Shi Rebellion 安史之亂|安史之乱[An1 Shi3 zhi1 Luan4]/
楊福家	yang pjuwk kae	Yang2 Fu2 jia1	/Yang Fujia (1936-), nuclear physicist/
楊秀清	yang sjuwH tshjeng	Yang2 Xiu4 qing1	/Yang Xiuqing (1821-1856), organizer and commander-in-chief of the Taiping Rebellion/
楊虎城	yang xuX dzyeng	Yang2 Hu3 cheng2	/Yang Hucheng (1893-1949), Chinese warlord and Nationalist general/
楊開慧	yang khoj hwejH	Yang2 Kai1 hui4	/Yang Kaihui (1901-1930), Mao Zedong's second wife/
楓香木	pjuwng xjang muwk	feng1 xiang1 mu4	/Chinese sweetgum (Liquidambar formosana)/
楔尾鷗	set mj+jX ’uw	xie1 wei3 ou1	/(bird species of China) Ross's gull (Rhodostethia rosea)/
楔形物	set heng mjut	xie1 xing2 wu4	/wedge/
楞子眼	long tsiX ngeanX	leng2 zi5 yan3	/vacant look of a drunk or imbecile/
楠西鄉	nom sej xjang	Nan2 xi1 xiang1	/Nanhsi township in Tainan county 台南縣|台南县[Tai2 nan2 xian4], Taiwan/
業務員	ngjaep mjuH hjun	ye4 wu4 yuan2	/salesperson/
業餘者	ngjaep yo tsyaeX	ye4 yu2 zhe3	/amateur/
極地狐	gik dijH hu	ji2 di4 hu2	/arctic fox/
極細小	gik sejH sjewX	ji2 xi4 xiao3	/extremely small/infinitesimal/
榆林市	yu lim dzyiX	Yu2 lin2 Shi4	/Yulin prefecture level city in Shaanxi/
榨汁機	tsraeH tsyip kj+j	zha4 zhi1 ji1	/juicer/blender/
榮成市	hjwaeng dzyeng dzyiX	Rong2 cheng2 shi4	/Rongcheng county level city in Weihai 威海, Shandong/
榮成灣	hjwaeng dzyeng ’waen	Rong2 cheng2 wan1	/Roncheng bay near Weihai 威海市 on north coast of Shandong/
榮歸主	hjwaeng kjw+j tsyuX	rong2 gui1 zhu3	/Gloria (section of Catholic mass)/
榮毅仁	hjwaeng ngj+jH nyin	Rong2 Yi4 ren2	/Rong Yiren (1916-2005), PRC Vice President from 1993-1998, played an important role in opening Chinese economy to Western investors/
榴槤果	ljuw ljen kwaX	liu2 lian2 guo3	/durian fruit/also written 留蓮果|留莲果/
榻榻米	thap thap mejX	ta4 ta4 mi3	/tatami (loanword)/
構想圖	kuwH sjangX du	gou4 xiang3 tu2	/notional diagram (i.e. made-up picture or artist's impression for news story)/
構詞學	kuwH zi haewk	gou4 ci2 xue2	/morphology (linguistics)/
槭糖漿	tsjuwk dang tsjang	qi4 tang2 jiang1	/maple syrup/
槲寄生	huwk kjeH sraeng	hu2 ji4 sheng1	/mistletoe/
樓梯口	luw thej khuwX	lou2 ti1 kou3	/head of a flight of stairs/
樓梯臺	luw thej doj	lou2 ti1 tai2	/staircase balcony/landing/
樓梯間	luw thej keanH	lou2 ti1 jian1	/staircase/flight of stairs/
樓閣塔	luw kak thap	lou2 ge2 ta3	/multi-storied pagoda/
樟腦丸	tsyang nawX hwan	zhang1 nao3 wan2	/camphor balls/moth balls/
樟腦球	tsyang nawX gjuw	zhang1 nao3 qiu2	/camphor balls/moth balls/
模仿品	mu phjangX phimX	mo2 fang3 pin3	/imitation product/counterfeit/fake/
模塊化	mu khwojH xwaeH	mo2 kuai4 hua4	/modularity/
模塊式	mu khwojH syik	mo2 kuai4 shi4	/modular/
模塊板	mu khwojH paenX	mo2 kuai4 ban3	/module board/
模擬器	mu ngiX khijH	mo2 ni3 qi4	/emulator/
模特兒	mu dok nye	mo2 te4 r5	/(fashion) model (loanword)/
橄欖山	kamX lamX srean	gan3 lan3 shan1	/Mount of Olives (in the Christian passion story)/
橄欖枝	kamX lamX tsye	gan3 lan3 zhi1	/olive branch/symbol of peace/
橄欖球	kamX lamX gjuw	gan3 lan3 qiu2	/football played with oval-shaped ball (rugby, American football, Australian rules etc)/
橄欖石	kamX lamX dzyek	gan3 lan3 shi2	/olivine (rock-forming mineral magnesium-iron silicate (Mg,Fe)2SiO4)/peridot/
橄欖綠	kamX lamX ljowk	gan3 lan3 lu:4	/olive-green (color)/
橋接器	gjew tsjep khijH	qiao2 jie1 qi4	/bridge (networking)/
橋頭鄉	gjew duw xjang	Qiao2 tou2 xiang1	/Qiaotou or Chiaotou township in Kaohsiung county 高雄縣|高雄县[Gao1 xiong2 xian4], southwest Taiwan/
橐中裝	thak trjuwng tsrjang	tuo2 zhong1 zhuang1	/gems/jewels/valuables/
橘子水	kjwit tsiX sywijX	ju2 zi5 shui3	/orangeade/orange squash/CL:瓶[ping2],杯[bei1],罐[guan4],盒[he2]/
橘子汁	kjwit tsiX tsyip	ju2 zi5 zhi1	/orange juice/CL:瓶[ping2],杯[bei1],罐[guan4],盒[he2]/see also 橙汁[cheng2 zhi1]/
橘子醬	kjwit tsiX tsjangH	ju2 zi5 jiang4	/orange jam/marmalade/
橘黃色	kjwit hwang srik	ju2 huang2 se4	/tangerine yellow/saffron (color)/
機動性	kj+j duwngX sjengH	ji1 dong4 xing4	/flexibility/
機務段	kj+j mjuH dwanH	ji1 wu4 duan4	/locomotive depot/
機器人	kj+j khijH nyin	ji1 qi4 ren2	/mechanical person/robot/android/
機密性	kj+j mit sjengH	ji1 mi4 xing4	/confidentiality/
機械化	kj+j heajH xwaeH	ji1 xie4 hua4	/to mechanize/
機械工	kj+j heajH kuwng	ji1 xie4 gong1	/a mechanic/
機械師	kj+j heajH srij	ji1 xie4 shi1	/mechanic/engineer/machinist/machine operator/CL:個|个[ge4],位[wei4]/
機械性	kj+j heajH sjengH	ji1 xie4 xing4	/mechanical/
機械碼	kj+j heajH maeX	ji1 xie4 ma3	/machine code/
機械鐘	kj+j heajH tsyowng	ji1 xie4 zhong1	/mechanical clock/
機關報	kj+j kwaen pawH	ji1 guan1 bao4	/official (government-operated) newspaper/
機靈鬼	kj+j leng kjw+jX	ji1 ling2 gui3	/(jocularly) clever and quick-witted person/
機頂盒	kj+j tengX hop	ji1 ding3 he2	/set-top box/decoder for digital or satellite TV signal etc/
機頭座	kj+j duw dzwaH	ji1 tou2 zuo4	/headstock/turning head of a screw, drill, lathe etc/
橡子麵	zjangX tsiX menH	xiang4 zi5 mian4	/acorn flour/
橡皮球	zjangX bje gjuw	xiang4 pi2 qiu2	/rubber ball/
橡皮筋	zjangX bje kj+n	xiang4 pi2 jin1	/rubber band/
橡皮線	zjangX bje sjenH	xiang4 pi2 xian4	/wire (sheathed in rubber)/cable/
檀香山	dan xjang srean	Tan2 xiang1 shan1	/Honolulu, capital of Hawaii/also transliterated as 火奴魯魯|火奴鲁鲁/
檔案夾	tang ’anH keap	dang4 an4 jia1	/file folder/portfolio/
檔案盒	tang ’anH hop	dang4 an4 he2	/archive box/
檔案袋	tang ’anH dojH	dang4 an4 dai4	/archive envelope/portfolio/
檔案館	tang ’anH kwanH	dang4 an4 guan3	/archive library/
檢孕棒	kjemX yingH baewngX	jian3 yun4 bang4	/home pregnancy test kit/
檢字法	kjemX dziH pjop	jian3 zi4 fa3	/indexing system for Chinese characters in a dictionary/
檢字表	kjemX dziH pjewX	jian3 zi4 biao3	/word index (of a dictionary)/
檢察官	kjemX tsrheat kwan	jian3 cha2 guan1	/public prosecutor/public procurator (judicial officer whose job may involve both criminal investigation and public prosecution)/
檢毒盒	kjemX dowk hop	jian3 du2 he2	/detection kit/
檢毒箱	kjemX dowk sjang	jian3 du2 xiang1	/detection kit/
檢測儀	kjemX tsrhik ngje	jian3 ce4 yi2	/sensor/detector/
檢測器	kjemX tsrhik khijH	jian3 ce4 qi4	/detector/
檸檬水	nraengX muwng sywijX	ning2 meng2 shui3	/lemonade/
檸檬汁	nraengX muwng tsyip	ning2 meng2 zhi1	/lemon juice/
檸檬片	nraengX muwng phenH	ning2 meng2 pian4	/slice of lemon/
檸檬茶	nraengX muwng drae	ning2 meng2 cha2	/lemon tea/
檸檬草	nraengX muwng tshawX	ning2 meng2 cao3	/lemongrass/
